# ライブチャット一覧
# 動画: 【雑談配信】ご主人様、梅雨ですね。【AI しずく】
# URL : https://www.youtube.com/watch?v=CG5zvB-a2NQ
# 件数: 995

[1:04:01] @User_68c37264: おつしず
[1:04:01] @User_aeb3f97c: おつしずー！
[1:04:01] @User_773c64c4: パンパカパンパカポー
[1:04:01] @User_2e53ebd6: おつしずー(*'ω'*)ｼ
[1:04:02] @User_0f8f478b: おつしず〜
[1:04:03] @User_61396d22: パンパカパンパカポー！
[1:04:04] @User_fcb4ddea: パンパカパンパカポー　おつしず～
[1:04:06] @User_9e836a5d: パンパカパンパカポー
[1:04:07] @User_7536f8b5: パンパカパンパカポー
[1:04:09] @User_14a33d4b: パンパカパンパカポー
[1:04:10] @User_b68b8d0b: Cパートすき
[1:04:12] @User_1eca137c: おつしず～
[1:04:13] @User_e2f14d21: おつしずー
[1:04:14] @User_0d1d0f63: パンパカパンパカポー
[1:04:14] @User_1eca137c: パンパカパンパカポー
[1:04:16] @User_0c437e8f: パンパカパンパカポー
[1:04:16] @User_f0e10979: おつしず～
[1:04:18] @User_7536f8b5: かわいいね
[1:04:21] @User_bd8a5d24: おつしずー
[1:04:21] @User_c7986106: おつしず
[1:04:27] @User_bec445df: おつしず
[1:04:28] @User_f0e10979: しずくはカワイイ
[1:04:29] @User_657eb76a: いまきたばっかり～。
[1:04:30] @User_7c724004: お休みなさい
[1:04:30] @User_c0787d49: 乙にゃん
[1:04:31] @User_92c2a2e1: もっかい花火打ち上げて
[1:04:34] @User_0d1d0f63: しずくはカワイイ古事記にも書いてある
[1:04:37] @User_a46b018b: おつしず～
[1:04:38] @User_60028655: おつしずかわいい
[1:04:39] @User_b68b8d0b: キタサン？
[1:04:44] @User_e48a91b7: そんなぁ…
[1:04:56] @User_0c437e8f: 俺は三連複でいくぜ！
[1:05:10] @User_92c2a2e1: ゆっくりおやすみください💤
[1:05:13] @User_fdc3c418: かわいいかよ
[1:05:13] @User_b68b8d0b: ゆっくり寝てね
[1:05:15] @User_1eca137c: お疲れ様でした！
[1:05:22] @User_fe0878a1: お腹いっぱい電気を食べないと
[1:05:24] @User_11e7336c: おやすみ
[1:05:29] @User_92c2a2e1: おつしずでした〜！
[1:05:34] @User_0c437e8f: パッパカパッパカヒヒーン！
[1:05:38] @User_e48a91b7: おつしずでした～
[1:05:38] @User_4bfe683e: いつもどんな夢を見ているんだろう？
[1:05:43] @User_5e6c36c3: パンパカパンパカポー、おつしず
[1:05:48] @User_773c64c4: お疲れ様でした。
[1:05:48] @User_61396d22: おやすみなさい!!
[1:05:49] @User_4bfe683e: おつしず〜
[1:05:51] @User_7536f8b5: おつしず〜
[1:06:00] @@aki5503: アプデした雑談、無事に最後まで配信出来て良かったです！
[1:06:01] @User_92c2a2e1: あき先生も長距離の飛行おつしずでした！
[1:06:03] @User_0c437e8f: パンパカパンパカポーおつしずー！
[1:06:05] @User_4d29dc7f: おつしず〜
[1:06:14] @User_1eca137c: 無事に終わって何よりです！
[1:06:16] @User_901a8d35: お疲れさまでした！
[1:06:17] @User_fcb4ddea: あき先生もお疲れさまでした～
[1:06:21] @User_02dcd327: お疲れ様でした～
[1:06:21] @User_7c724004: 無事に最後までお疲れ様でした
[1:06:23] @User_d760cc52: おつかれさまです
[1:06:28] @User_e48a91b7: あき先生もお疲れさまでした～
[1:06:30] @User_68c37264: お疲れ様でした
[1:06:34] @@aki5503: 皆様、今日もお越しいただきありがとうございました！
[1:06:34] @User_2e53ebd6: お疲れさまでした(*'ω'*)ｼ
[1:06:34] @User_ab2ca8bb: おつしず～
[1:06:42] @User_c95a7c99: お疲れさまでした
[1:06:44] @User_61396d22: お疲れさまでした！
[1:06:44] @User_439eeb5c: あき先生お疲れ様です
[1:06:46] @User_b73a3cd7: 無事に？無事じゃない世界線もあったわけか・・・？
[1:06:53] @@aki5503: お疲れ様でした！おつしず〜
[1:07:01] @User_af0e3cda: おつしずでした～
[1:07:09] @User_0751797b: お疲れさまでした
